im9519498,楽祭ロゴ,酒呑みて　歌えや東方　楽しめば,ニコり祭りの　宴奏づる,期待値0
im9519498,楽祭ロゴ,ロゴを見て　酒瓶見ようと　目をみやり,浮き立つ白線　東方の字,瞑想獅子
im9519498,楽祭ロゴ,"寿げる　句々を重ねて　""よい""の宴",聞くも酒(さか)好き　重畳　々々,蛮菓
im9543573,【東方ニコ楽祭・酒宴】森の宴会,銘々が　森に集いて　幻想の,"<font color=\""red\"">宴会</font>はじまり　笑顔花咲く",茶芭
im9543573,【東方ニコ楽祭・酒宴】森の宴会,"<font color=\""red\"">宴会</font>に　笑顔萃まる　夏の森",,伊賀高原
im9543573,【東方ニコ楽祭・酒宴】森の宴会,"敷き花の　月光照らす　<font color=\""red\"">宴会</font>と",人妖永久に　酌み交わさんと,期待値0
im9543573,【東方ニコ楽祭・酒宴】森の宴会,人の子も　鬼も怪異も　雑じり合ひ,宴をゆげする　晩夏のひと時,水炬
im9543573,【東方ニコ楽祭・酒宴】森の宴会,"さぁ<font color=\""red\"">宴会</font>　鬼の飲兵衛　縁萃め",揺れる瓢箪　友好の契り,瞑想獅子
im9543573,【東方ニコ楽祭・酒宴】森の宴会,"<font color=\""red\"">宴会</font>に　愁いあらじと　蛍雪の",淡いやうれし　瞳藍の君,蛮菓
im9543573,【東方ニコ楽祭・酒宴】森の宴会,夢まく゛ら　夢見る夢の　見せる夢,"<font color=\""red\"">宴会</font>、さた、かは　夢のまた夢",蛮菓
im9555127,【東方ニコ楽祭・酒宴】花見酒,"夏の夜に　咲く満開の　<font color=\""red\"">空の花</font>",友呼びつけて飲む　空白むまで,茶芭
im9555127,【東方ニコ楽祭・酒宴】花見酒,"屋根に座し　鬼酌み交わす　<font color=\""red\"">空の花</font>",,伊賀高原
im9555127,【東方ニコ楽祭・酒宴】花見酒,"鬼二人　夜長に咲きし　<font color=\""red\"">空の花</font>",砕け火重ね　満たす盃,筑前煮
im9555127,【東方ニコ楽祭・酒宴】花見酒,夏空の　花の下にて　酒交わす,古きよすがは　束緒の如く,水炬
im9555127,【東方ニコ楽祭・酒宴】花見酒,"刹那咲く　杯に映すは　<font color=\""red\"">空の花</font>",過去を忘れて　明日に笑わず,期待値0
im9555127,【東方ニコ楽祭・酒宴】花見酒,"顔隠す　<font color=\""red\"">花火を肴に</font>　酔い回り",恥捨て御免　鬼の眼に涙,瞑想獅子
im9555127,【東方ニコ楽祭・酒宴】花見酒,傍族（そばがら）の腕を枕に　貴伊吹(たかいびき)　そらそら空の,花もよいねぇ！,蛮菓
im9555127,【東方ニコ楽祭・酒宴】花見酒,千両屋ァ！！　絶景かなと　叫びたり,"祀る儀星ぞ　<font color=\""red\"">花火を肴に</font>",蛮菓
im9555703,In Summer 美鈴,"昼間から　ビール飲んでるからでもないが　目に眩しいのは<font color=\""red\"">夏の空</font>",貴女の姿とその笑顔,茶芭
im9555703,In Summer 美鈴,"酒見ずに　君に酔いしる　<font color=\""red\"">夏の空</font>",,伊賀高原
im9555703,In Summer 美鈴,"燦燦と　輝く笑顔の　<font color=\""red\"">夏の空</font>",酔ひしれる酒は　苦味か甘味か,水炬
im9555703,In Summer 美鈴,"<font color=\""red\"">夏の空</font>　背にし映えるは　涼しげに",紅靡かせ　鈴の音響く,期待値0
im9555703,In Summer 美鈴,"<font color=\""red\"">夏の空</font>　浮きたつ結露と　流す汗",波が奏でる　彩虹の風鈴,瞑想獅子
im9555703,In Summer 美鈴,トラ！トラ！トラ！　おハリコ泣かせの　大虎を,"「とらとら囃す　嗚呼<font color=\""red\"">夏の空</font>",蛮菓
im9555703,In Summer 美鈴,"<font color=\""red\"">夏の空</font>　混ぜると危険な　ホッピング！",無駄に煽れば　トーゼンdeショウガ！！,蛮菓
im9560787,青空の下で,"<font color=\""red\"">空</font>と酒　爽やぐ巫女の　風来たる",,伊賀高原
im9560787,青空の下で,"見上げれば　浮き立つ<font color=\""red\"">空</font>の　<font color=\""red\"">雲</font>の峰",苦き思ひ出は　酒にやありけむ,水炬
im9560787,青空の下で,"杯掲げ　<font color=\""red\"">空</font>とか<font color=\""red\"">雲</font>とか　<font color=\""red\"">日焼け</font>とか",……かかってこい　酷暑ヤロー！,瞑想獅子
im9560787,青空の下で,さぁいこう！　沖のカモメの　エール受け,あなたの為の　冒険(ひょうたん)島へ,蛮菓
im9560787,青空の下で,"青<font color=\""red\"">空</font>の　下で佇む　巫女ひとり",夏をしのぶる　酒に忘れじ,期待値0
im9560787,青空の下で,幻想の　夏風祝　翔る南風,,筑前煮
im9560787,青空の下で,生きていく　世界を違えど　見上げれば,あの頃にも見た　同じ青と白,茶芭(SABA)
im9561933,【東方ニコ楽祭・酒宴】櫺子から　差し込む光を　御肴に,あけぼのに　盃光り　夢終わり,,伊賀高原
